dtheta0,Nx,Ny,EIL2,delta,Energy
13.658912217131814,-37.0622732192682,77.82119188441735,1.0,1.0,56.13645320531259
13.639212813411426,-36.79340265633394,77.94866971701424,1.0,1.0,56.13646204756594
13.619484919231708,-36.52453209339968,78.07501353839429,1.0,1.0,56.136470854463475
13.599728410772686,-36.25566153046542,78.2002288443067,1.0,1.0,56.136479625751726
13.579943162925098,-35.98679096753116,78.32432104639595,1.0,1.0,56.136488361428164
13.56012905011831,-35.717920404596896,78.44729547449285,1.0,1.0,56.13649706135833
13.540285945154768,-35.44904984166263,78.5691573762887,1.0,1.0,56.13650572508591
13.520413720659024,-35.180179278728374,78.68991191996398,1.0,1.0,56.13651435267698
13.500512247924613,-34.91130871579411,78.8095641956443,1.0,1.0,56.136522943994144
13.480581397355111,-34.64243815285985,78.92811921499236,1.0,1.0,56.136531498840114
13.460621038234788,-34.373567589925585,79.04558191594688,1.0,1.0,56.13654001676661
13.440631039366258,-34.10469702699133,79.16195715982893,1.0,1.0,56.13654849823075
13.420611268022686,-33.835826464057064,79.27724973492631,1.0,1.0,56.13655694251912
13.400561590722486,-33.56695590112281,79.39146435831042,1.0,1.0,56.13656534977663
13.380481873034613,-33.29808533818854,79.50460567452159,1.0,1.0,56.13657371972988
13.36037197953011,-33.02921477525428,79.61667825950691,1.0,1.0,56.13658205238071
13.340231773670979,-32.76034421232002,79.72768661949783,1.0,1.0,56.136590347598165
13.320061117829226,-32.49147364938576,79.83763519373817,1.0,1.0,56.136598605097134
13.299859873534182,-32.2226030864515,79.94652835397812,1.0,1.0,56.136606824965476
13.279627901027546,-31.95373252351724,80.054370406885,1.0,1.0,56.136615006874905
13.259365059698515,-31.684861960582978,80.16116559481924,1.0,1.0,56.13662315080389
13.239071207690492,-31.415991397648718,80.2669180946708,1.0,1.0,56.13663125665476
13.218746202212625,-31.147120834714457,80.3716320235822,1.0,1.0,56.136639324303985
13.198389899246683,-30.878250271780196,80.47531143440534,1.0,1.0,56.13664735375524
13.178002153714958,-30.609379708845935,80.57796032024748,1.0,1.0,56.13665534468528
13.157582819486086,-30.340509145911675,80.67958261473701,1.0,1.0,56.1366632972841
13.137131749181274,-30.071638582977414,80.78018219114232,1.0,1.0,56.136671211197815
13.116648794261483,-29.802768020043153,80.87976286651201,1.0,1.0,56.13667908643424
